source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Variety'}",Jem Aswad,"In the Pink: Super-Producer Mark Ronson on Making the Music for ‘Barbie,’ and How Dua Lipa’s Song Changed to Fit the Film","Whether it’s a soundtrack, a score or a song placement, there are countless wrong ways to do music for film and so few ways to make it feel right. There’s very little leeway, which is why it can be so challenging for even the most successful hitmakers to make…",https://variety.com/2023/music/news/mark-ronson-music-barbie-dua-lipa-1235810300/,https://variety.com/wp-content/uploads/2019/10/youtube-how-to-be-mark-ronson.png?w=1000&h=563&crop=1,2023-11-28T18:00:00Z,"Whether it’s a soundtrack, a score or a song placement, there are countless wrong ways to do music for film and so few ways to make it feel right. There’s very little leeway, which is why it can be s… [+7873 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",The Feed,Barbie movie sequel: Margot Robbie reveals details about Barbie 2,'Barbie' movie that broke all the box office records is still quite fresh in the minds of its fans. The movie directed by Greta Gerwig saw fans going to watch the movie in pink dress. The huge success of the movie has left fans asking for more.,https://economictimes.indiatimes.com/news/international/us/barbie-movie-sequel-margot-robbie-reveals-details-about-barbie-2/articleshow/105568728.cms,"https://img.etimg.com/thumb/msid-105568773,width-1200,height-630,imgsize-116346,overlay-economictimes/photo.jpg",2023-11-28T14:20:23Z,"For all those Barbie fans, who are desperately waiting for another installment of the blockbuster hit, it seems that a sequel or a prequel is less likely. However, the film's director, Greta Gerwig's… [+2062 chars]"
"{'id': None, 'name': 'Forbes'}","Beth Bernstein, Contributor, 
 Beth Bernstein, Contributor
 https://www.forbes.com/sites/bethbernstein/",The Barbicore Trend Continues,"If you have any questions whether the Barbicore trend is continuing, you just need to look to the Academy Awards predictions for Greta Gerwig’s Barbie film, Assouline’s new oversized coffee table book and our present in which vibrant pink speaks to our need f…",https://www.forbes.com/sites/bethbernstein/2023/11/27/the-barbicore-trend-continues/,"https://imageio.forbes.com/specials-images/imageserve/6564de7780b438b819273f4e/0x0.jpg?format=jpg&crop=2366,1331,x205,y243,safe&height=900&width=1600&fit=bounds",2023-11-27T18:29:35Z,"Margot Robbie on the film set of Barbie
Margot Robbie on set 
Warner Bros. Pictures
Margot Robbie attends the press junket and photo call for ""Barbie"" at Four Seasons Hotel Los Angeles at Beverly … [+8224 chars]"
"{'id': 'techradar', 'name': 'TechRadar'}",tom.power@futurenet.com (Tom Power),Margot Robbie might have crushed your Barbie sequel dreams: 'I can't imagine what would be next',Barbie's lead star has suggested there are no plans for a follow-up to 2023's highest-grossing movie.,https://www.techradar.com/streaming/entertainment/margot-robbie-might-have-crushed-your-barbie-sequel-dreams-i-cant-imagine-what-would-be-next,https://cdn.mos.cms.futurecdn.net/NSxmFHyEvV4siT6WFZLcKa-1200-80.jpg,2023-11-27T10:49:04Z,"Margot Robbie has seemingly crushed our Barbie-based hopes by suggesting there are no plans to make a sequel.
Speaking to The Associated Press (see the X post below), Robbie confirmed the megahit fi… [+3711 chars]"
"{'id': None, 'name': '[Removed]'}",,[Removed],[Removed],https://removed.com,,1970-01-01T00:00:00Z,[Removed]
"{'id': 'bild', 'name': 'Bild'}",Majena von cappeln,DER Kino-Hit des Jahres - Kommt „Barbie 2“? Margot Robbie verrät’s!,DER Kino-Hit des Jahres! Im Sommer eroberten Margot Robbie (33) und Ryan Gosling (43) als „Barbie“ und „Ken“ die Kinos. Wird es eine Fortsetzung geben?,https://www.bild.de/unterhaltung/leute/leute/margot-robbie-verraets-kommt-ein-zweiter-teil-von-barbie-86222802.bild.html,"https://images.bild.de/6562fcf1b93a522f7677337b/2147cd85bfb5b273f070c051ca0a915f,ed6d4cf1?w=1280",2023-11-26T11:43:12Z,"Es war DER Kino-Hit des Jahres!
Im Sommer eroberten Margot Robbie (33) und Ryan Gosling (43) als Barbie und Ken die Kinos. Der Film Barbie spielte mehr als 1,2 Milliarden Dollar ein und ist damit ei… [+1516 chars]"
"{'id': None, 'name': 'Androidworld.nl'}",,De meest besproken film van het jaar is nu te huur op Pathé Thuis: Barbie (adv),"Een feministisch manifest in een suikerzoet jasje: zo kun je de Barbie-film wel noemen. Barbie melk zien ‘drinken’ is hilarisch, haar constant iedereen gedag horen zeggen ook, maar ondanks de gigantische lading humor die op je afkomt, zit er ook een boodschap…",https://androidworld.nl/advertorial/de-meest-besproken-film-van-het-jaar-is-nu-te-huur-op-pathe-thuis-barbie-adv,https://r.testifier.nl/Acbs8526SDKI/resizing_type:fill/width:1200/height:675/plain/https%3A%2F%2Fs3-newsifier.ams3.digitaloceanspaces.com%2Fandroidworld.nl%2Fimages%2F2023-11%2Fbarbie-655db6071fecb.jpg,2023-11-22T08:30:00Z,"Een feministisch manifest in een suikerzoet jasje: zo kun je de Barbie-film wel noemen. Barbie melk zien drinken is hilarisch, haar constant iedereen gedag horen zeggen ook, maar ondanks de gigantisc… [+1830 chars]"
"{'id': None, 'name': 'Footwear News'}",Aaron Roycehttps://aaronjdroyce.journoportfolio.com/,Taylor Swift Does Viral ‘Barbie’ Walk For ‘Eras Tour’ After Her Louboutin Heels Break Onstage,The musician's bejeweled heel — and its red sole — were caught by a lucky fan in Brazil.,http://footwearnews.com/entertainment-news/culture/taylor-swift-eras-tour-louboutin-boots-broken-high-heels-1203558292/,https://footwearnews.com/wp-content/uploads/2023/11/taylor-swift-eras-tour-boots.jpg,2023-11-21T20:30:25Z,"Taylor Swift‘s latest “Eras Tour” stop has included a viral wardrobe malfunction — with a glamorous shoe choice, to boot.
On Monday, Swift performed during her tour’s Rio de Janeiro, Brazil stops at… [+1994 chars]"
"{'id': None, 'name': 'Www.hln.be'}",STB,De kapotte laars van Taylor Swift zorgt al meteen voor een nieuwe bijnaam: “Levende Barbie”,"Taylor Swift (33) laat zich door niets weerhouden tijdens haar concerten, zelfs niet door een kapotte schoen. De hak van haar glinsterende laars brak af, maar de popster deed alsof er niets was gebeurd. “Ze stond op haar tenen en ging gewoon door"", klinkt het…",https://www.hln.be/celebrities/de-kapotte-laars-van-taylor-swift-zorgt-al-meteen-voor-een-nieuwe-bijnaam-levende-barbie~a097b3f1/,https://images0.persgroep.net/rcs/sehPf27YY2q3NfRylYGnws9Ns7w/diocontent/237830279/_fill/1200/630/?appId=21791a8992982cd8da851550a453bd7f&quality=0.7,2023-11-21T08:27:10Z,"Op dit moment reist Taylor Swift door Zuid-Amerika met haar Eras Tour. Tijdens haar concert op maandagavond brak de hak van haar schoen af. Terwijl ze tijdens de show kort pauzeerde voor applaus, ben… [+875 chars]"
"{'id': None, 'name': 'Bleeding Cool News'}",Aedan Juvet,"Margot Robbie Says Greta Gerwig ""Changed the Game"" with Barbie","Barbie has already earned more than a billion dollars globally, and it's pretty clear that it is one of the most significant pop culture entries in recent years for its accessibility to audiences of all ages. So obviously, there's a lot to celebrate. Now, dur…",https://bleedingcool.com/movies/margot-robbie-says-greta-gerwig-changed-the-game-with-barbie/,https://bleedingcool.com/wp-content/uploads/2023/05/rev-1-BAR-TT3-0093_High_Res_JPEG-2000x1125.jpeg,2023-11-20T17:33:08Z,"Posted in: Movies, Warner Bros | Tagged: barbie, film, greta gerwig, margot robbie, Warner Bros
Margot Robbie is opening up about her respect for Greta Gerwig and how the filmmaker ""changed the game… [+2779 chars]"
