source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Boston Herald'}",Stephen Schaefer,‘Billion Dollar Babies’ explores Cabbage Patch craze,"“Billion Dollar Babies” highlights the Appalachian creator of the doll, Martha Nelson Thomas, a shy woman, and Xavier Roberts who copyrighted his version of her doll – and made millions.",https://www.bostonherald.com/2023/11/26/billion-dollar-babies-explores-cabbage-patch-craze/,https://www.bostonherald.com/wp-content/uploads/2023/11/BHR-L-ARTSINSIDE-01-3.jpg?w=1024&h=1266,2023-11-26T05:05:57Z,"Forty years ago a toy baby doll prompted a nationwide fad. Which prompted a Black Friday riot like no one had ever seen.
Over, yes, a doll.
Billion Dollar Babies: The True Story of the Cabbage Patc… [+2388 chars]"
"{'id': None, 'name': 'Deadline'}",Armando Tinoco,Margot Robbie On Potential ‘Barbie 2’: “We Didn’t Build It To Be A Trilogy”,"Following the box office success of Barbie, there’s been a lot of chatter about a potential sequel that would see Margot Robbie reprise the titular character role. However, in a new interview, Robbie seems to shoot down any possibilities of a follow-up to the…",https://deadline.com/2023/11/margot-robbie-barbie-sequel-1235637695/,https://deadline.com/wp-content/uploads/2023/11/margot-robbie-barbie-sequel.jpg?w=1024,2023-11-26T03:38:47Z,"Following the box office success of Barbie, there’s been a lot of chatter about a potential sequel that would see Margot Robbie reprise the titular character role.
However, in a new interview, Robbi… [+1384 chars]"
"{'id': None, 'name': 'Inside the Magic'}",Amanda Landwehr,‘Ahsoka’ Star Breaks Silence After Being “Replaced” for New TV Show,"Three generations of Ahsoka Tanos joined forces for the latest Disney+ Star Wars spinoff, Ahsoka. Now that its first season has come to an end and the SAG-AFTRA strike is resolved, title star Rosario Dawson is opening up about working with her “replacement” f…",https://insidethemagic.net/2023/11/ahsoka-star-wars-breaks-silence-after-being-replaced-by-dave-filoni-aml1/,https://insidethemagic.net/wp-content/uploads/2023/04/Untitled-design-9.jpg,2023-11-26T01:43:15Z,"Three generations of Ahsoka Tanos joined forces for the latest Disney+ Star Wars spinoff, Ahsoka. Now that its first season has come to an end and the SAG-AFTRA strike is resolved, title star Rosario… [+9398 chars]"
"{'id': None, 'name': 'TMZ'}",TMZ Staff,Margot Robbie Seems to Squash Any Hope Of a 'Barbie' Sequel,"Margot Robbie says there probably ain't gonna be a 'Barbie' sequel -- 'cause she and the creative team put all their eggs into the OG basket ... and there isn't much else to say. The actress was recently interviewed and got asked about the…
 Permalink",https://www.tmz.com/2023/11/25/margot-robbie-shoots-down-idea-barbie-2-sequel/,https://imagez.tmz.com/image/b4/16by9/2023/11/25/b40e3d5409e24b8b957bd6078ddd84d7_xl.jpg,2023-11-26T00:09:14Z,"Margot Robbie says there probably ain't gonna be a 'Barbie' sequel -- 'cause she and the creative team put all their eggs into the OG basket ... and there isn't much else to say.
The actress was rec… [+1787 chars]"
"{'id': None, 'name': 'Screen Rant'}",Kayleena Pierce-Bohen,21 Actors Who Starred In Multiple Movies In 2023,"Even amid the SAG-AFTRA strike and a film industry recovering from a pandemic, these actors still managed to star in multiple movies in 2023.",https://screenrant.com/actors-starred-multiple-movies-2023/,https://static1.srcdn.com/wordpress/wp-content/uploads/2023/11/adam-driver-jacob-elordi-matt-damon-and-florence-pugh.jpg,2023-11-25T22:35:12Z,"Summary
<ul><li> Despite the challenges faced by the film industry, many actors starred in multiple movies in 2023, showcasing their versatility and talent. </li><li> Big hits like ""Air"" and ""Oppenh… [+14577 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",The Feed,Oppenheimer to be released in November on OTT? What we know so far,'Oppenheimer' by Christopher Nolan has garnered positive reviews and viewers are eagerly waiting for the OTT release.,https://economictimes.indiatimes.com/news/international/us/oppenheimer-to-be-released-in-november-on-ott-what-we-know-so-far/articleshow/105502748.cms,"https://img.etimg.com/thumb/msid-105502754,width-1200,height-630,imgsize-63592,overlay-economictimes/photo.jpg",2023-11-25T21:58:58Z,"Christopher Nolan's 'Oppenheimer' boasts an incredibly talented cast, a nuclear explosion brought to life without CGI, and a box office clash with the formidable Barbenheimer, also known as 'Barbie'.… [+1584 chars]"
"{'id': None, 'name': 'Bleeding Cool News'}",Kaitlyn Booth,Margot Robbie Doesn't Seem Too Keen On The Idea Of Barbie 2,"While it stands to reason that many people thought that Barbie would be big this summer, it's safe to say that no one thought it would be as big as it was. And no one could have predicted its mark on the culture and the conversations. It started all from a mo…",https://bleedingcool.com/movies/margot-robbie-doesnt-seem-too-keen-on-the-idea-of-barbie-2/,https://bleedingcool.com/wp-content/uploads/2023/05/rev-1-BAR-TT3-0093_High_Res_JPEG-2000x1125.jpeg,2023-11-25T21:47:07Z,"Posted in: Movies, Warner Bros | Tagged: barbie, margot robbie, warner bros discovery
Barbie star and producer Margot Robbie was recently asked about a possible sequel; she said, ""I think we put eve… [+4433 chars]"
"{'id': None, 'name': 'Inside the Magic'}",Averyl Fong,Marvel Is Reportedly Casting “Anti-Woke” Silver Surfer,"Over an extended duration, Kevin Feige has served as the President of Marvel Studios, guiding the Marvel Cinematic Universe (MCU) under The Walt Disney Company’s umbrella. The MCU’s significant impact on the superhero film genre and the broader cinematic pano…",https://insidethemagic.net/2023/11/marvel-casting-anti-woke-silver-surfer-anya-taylor-joy-report-af1/,https://insidethemagic.net/wp-content/uploads/2022/11/surfer.jpg,2023-11-25T21:22:42Z,"Over an extended duration, Kevin Feige has served as the President of Marvel Studios, guiding the Marvel Cinematic Universe (MCU) under The Walt Disney Company’s umbrella. The MCU’s significant impac… [+6387 chars]"
"{'id': None, 'name': 'Deadline'}",Ryan Fleming,"‘Poor Things’, ‘The Marvels’ And ‘Barbie’ Production Designers On Creating Fantastical New Worlds Through Innocent Eyes","In most fantasy movies, the job of the production team is to create a breathtaking new world that dazzles the viewer, but this Oscar season shows a new trend: stories in which the characters themselves are taken on a journey of discovery and adventure. In Poo…",https://deadline.com/2023/11/poor-things-the-marvels-barbie-production-design-feature-magazine-1235637437/,https://deadline.com/wp-content/uploads/2023/11/Poor-Things-01.jpg?w=1024,2023-11-25T19:02:00Z,"In most fantasy movies, the job of the production team is to create a breathtaking new world that dazzles the viewer, but this Oscar season shows a new trend: stories in which the characters themselv… [+7565 chars]"
"{'id': None, 'name': 'TheWrap'}",Haleigh Foutch,7 Best New Movies on Paramount+ in November 2023,"Settle in for some crowd-pleasers this holiday weekend
The post 7 Best New Movies on Paramount+ in November 2023 appeared first on TheWrap.",http://www.thewrap.com/best-new-movies-on-paramount-plus-november-2023/,https://i0.wp.com/www.thewrap.com/wp-content/uploads/2023/11/charlize-theron-long-shot.jpg?fit=1200%2C675&ssl=1,2023-11-25T19:00:00Z,"Its Thanksgiving week, which means the holiday season is officially in full swing. In keeping, Paramount+ is stocking up with crowd-pleasers and awards favorites this month, just in time to settle in… [+2501 chars]"
